Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1,80,1984,4,5
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2,70,1994,8,5
Louisiana Flooding (August 2016),Flooding,20160812,20160815,11,13,2016,2,5
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1,100,1989,8,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,3,42,2012,4,5
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,9,16,1998,5,5
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2,85,1982,8,5
Oakland Firestorm (October 1991),Wildfire,19911001,19911031,6,25,1991,6,5
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,8,21,1983,5,5
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,19990506,3,55,1999,4,5
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,5,36,1997,2,5
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4,45,1982,2,5
Western Storms & Flooding (December 1982-March 1983),Flooding,19821213,19830331,4,50,1982,2,5
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,19980228,2,132,1997,4,10
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,8,27,1995,5,10
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,4,63,1985,5,10
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,20030301,20031130,7,35,2003,1,10
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,10,28,2004,5,10
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,12,24,2008,2,10
Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,20030510,6,51,2003,4,10
South Plains Severe Weather (May 1995),Severe Storm,19950505,19950507,9,32,1995,4,10
